"","Doxorubicin_IC_50","Etoposide_IC_50","Gemcitabine_IC_50","Mitomycin.C_IC_50","Vinorelbine_IC_50","NSC.87877_IC_50","Bicalutamide_IC_50","QS11_IC_50","Midostaurin_IC_50","CHIR.99021_IC_50","AP.24534_IC_50","AZD6482_IC_50","JNK.9L_IC_50","PF.562271_IC_50","DMOG_IC_50","FTI.277_IC_50","OSU.03012_IC_50","Shikonin_IC_50","AKT.inhibitor.VIII_IC_50","Embelin_IC_50","FH535_IC_50","PAC.1_IC_50","IPA.3_IC_50","GSK.650394_IC_50","BAY.61.3606_IC_50","Thapsigargin_IC_50","Obatoclax.Mesylate_IC_50","BMS.754807_IC_50","OSI.906_IC_50","Bexarotene_IC_50","Bleomycin_IC_50","LFM.A13_IC_50","AUY922_IC_50","Bryostatin.1_IC_50","Pazopanib_IC_50","LAQ824_IC_50","Epothilone.B_IC_50","GSK.1904529A_IC_50","Tipifarnib_IC_50","AS601245_IC_50","AICAR_IC_50","Camptothecin_IC_50","Vinblastine_IC_50","Cisplatin_IC_50","Cytarabine_IC_50","Docetaxel_IC_50","Methotrexate_IC_50","ATRA_IC_50","Gefitinib_IC_50","ABT.263_IC_50","Vorinostat_IC_50","RDEA119_IC_50","Temsirolimus_IC_50","AZD.2281_IC_50","ABT.888_IC_50","Bosutinib_IC_50","Lenalidomide_IC_50","Axitinib_IC_50","AZD7762_IC_50","GW.441756_IC_50","CEP.701_IC_50","X17.AAG_IC_50","VX.702_IC_50","AMG.706_IC_50","KU.55933_IC_50","Elesclomol_IC_50","BIBW2992_IC_50","GDC.0449_IC_50","PLX4720_IC_50","BX.795_IC_50","NU.7441_IC_50","BIRB.0796_IC_50","JNK.Inhibitor.VIII_IC_50","Nutlin.3a_IC_50","PD.173074_IC_50","RO.3306_IC_50","NVP.BEZ235_IC_50","GDC0941_IC_50","AZD8055_IC_50","PD.0325901_IC_50","CCT007093_IC_50","EHT.1864_IC_50","BMS.708163_IC_50","PF.4708671_IC_50","JNJ.26854165_IC_50","TW.37_IC_50","AG.014699_IC_50"
"NCI-SNU-1",-2.720157,0.561482,-11.045431,-1.856366,-3.419003,7.104939,4.528387,3.674123,0.994455,6.536941,-0.257764,4.047299,-0.780541,1.503412,8.309592,2.897571,3.445353,0.471379,4.36063,3.698224,2.378198,2.836717,8.146819,4.601916,0.688628,-4.298691,-2.108023,5.231889,4.447677,7.543221,1.0441,7.187053,-2.53981,-0.187756,7.345636,-2.453398,-2.76871,5.170163,4.735267,3.487934,7.983092,-0.797832,-1.633765,5.032117,2.917387,-1.418566,-0.172131,6.168283,3.728801,0.913683,4.132485,5.025041,1.787022,4.386437,6.418518,5.454718,5.861123,4.49031,2.083231,5.20426,1.605,2.179783,5.327331,4.908888,5.169642,1.220836,3.714657,6.132671,4.788966,5.753984,4.446017,7.015921,6.188587,4.28855,4.506297,4.806913,1.649669,5.209253,3.508521,2.349393,5.723708,2.360655,5.651961,2.937554,5.637201,1.558348,6.282052
"NCI-SNU-16",3.439894,8.585557,5.025491,1.908518,-3.255431,9.57654,4.299033,7.953341,5.012533,6.522772,2.281867,7.337799,4.622675,6.700129,8.899155,5.440189,8.447803,8.537123,5.985148,8.93275,5.342332,5.526664,8.358458,8.092433,4.122956,-1.665968,2.574582,6.068118,6.623649,7.776824,9.688699,8.273683,3.877725,0.360824,5.599848,-0.96227,-3.47376,5.708294,6.864028,6.817184,7.494834,-1.10792,-4.301483,5.433865,3.944072,-5.016438,0.302703,5.137423,2.859074,2.946415,0.751516,5.656753,2.020287,4.305225,5.340071,3.654813,5.24149,0.257477,-1.243917,5.180533,-0.476232,-0.48836,4.314262,3.556525,4.995049,1.542274,3.675382,5.5893,5.075732,1.095531,4.589236,7.141358,6.329804,5.812413,0.097566,5.549316,-1.050604,4.930133,-0.690706,3.203606,5.090477,3.708786,5.741557,3.322549,3.875168,4.428963,5.773188
"NCI-SNU-5",-0.56185,2.069269,-4.411776,-1.95753,-3.082435,6.959919,5.366773,7.635161,2.334493,6.157572,5.023017,3.869384,2.371853,6.206659,9.377542,4.97168,6.989687,2.255149,6.561638,4.520424,3.979738,5.708753,7.588751,7.999345,4.528617,-2.392262,-0.15584,4.811731,6.620294,7.283134,-0.441055,8.062122,-1.286897,0.355073,6.436544,-1.389637,-3.491899,5.54763,5.749815,5.741299,8.677385,-6.01712,-3.662286,3.6598,0.009688,-4.947198,2.217205,5.920886,3.773346,1.354001,-0.131625,0.339419,-2.711853,6.213736,4.849766,4.359285,5.133961,3.313097,-2.312341,2.477098,0.267814,-3.74023,3.95518,5.302508,6.442388,-4.176677,3.991107,6.700532,6.240703,3.480599,4.859621,5.963,6.508266,6.109633,4.732531,5.357295,-3.501924,-0.793661,-1.940821,-1.384454,5.743038,5.971076,6.306666,7.004358,3.866618,-0.081735,4.370503
"NEC8",-3.392857,-0.618141,-3.34184,-1.677856,-4.274881,7.764262,5.369224,2.765352,0.768259,4.724056,0.582186,2.779645,0.012297,3.597104,6.007472,4.000893,1.49724,-0.174467,5.872239,1.93019,3.075458,3.619568,7.330491,3.987114,2.049689,-4.509495,-2.88422,0.617751,3.083599,6.795221,-3.617444,6.665269,-0.795291,-0.915638,3.100082,-2.418855,-5.64658,4.955584,5.52727,4.43603,11.469158,-5.77363,-5.274123,0.924604,-2.008362,-7.282816,-1.238713,5.425269,3.113861,1.911954,-1.240019,2.019935,1.263467,2.897657,4.454837,4.549051,4.25027,-0.326934,-3.169292,0.210418,-1.316909,1.365603,5.392602,1.192051,3.386245,-4.465936,2.677399,5.27926,4.713048,1.825891,0.440513,3.853676,5.450317,0.195336,-0.574679,1.497558,-2.69955,-0.425311,-0.874783,-0.066387,5.031704,6.349972,3.509664,6.722332,1.327027,-1.929076,4.900928
"NH-12",-2.576963,-0.397534,-3.669117,-1.972334,-3.611047,6.519338,4.790745,3.317447,0.338344,2.773195,0.550588,2.604089,-0.76601,2.200045,8.633168,3.266169,3.475065,-0.162299,-0.496531,1.356215,2.68388,-0.013471,1.632685,2.511091,0.911004,-3.728735,-0.616937,-1.717955,-0.273832,6.505895,0.792135,5.732153,-3.114409,-0.365478,2.865378,-2.857833,-7.022713,4.670097,1.720607,5.539687,9.287609,-5.574679,-3.636318,2.582414,0.150374,-2.51648,1.254618,6.439761,1.371656,-2.230801,0.546334,0.185021,-0.706869,4.110579,5.604677,3.336585,6.108629,2.445624,-1.030131,4.988427,-1.612877,0.765498,4.66168,4.222892,4.400764,-2.008032,2.04486,6.692758,6.889033,1.030666,4.645154,6.4118,6.648251,1.391179,4.71152,6.077224,-2.01745,0.719905,0.106493,-0.223082,5.572245,5.957597,4.031677,4.867578,4.847771,-1.759482,3.915901
"NKM-1",-3.524369,-0.855286,-11.85682,-4.849684,-5.304017,6.939382,4.217046,2.752968,-3.233469,1.420626,-5.028627,0.251815,-0.854547,0.242993,4.834038,4.624646,4.840847,-2.290649,1.014952,5.636669,2.326776,1.358502,6.578996,1.017877,0.055432,-5.096355,-4.633663,0.421782,1.819228,3.844487,-4.87341,5.924908,-5.208161,-0.040574,3.500754,-4.407915,-6.164379,5.073299,-0.255946,0.838389,5.265229,-6.20779,-6.723937,1.463235,-0.501583,-5.304466,-2.736918,3.668629,2.213502,-4.150014,-1.318785,0.556608,-0.549726,1.918152,3.496572,1.186035,4.021938,0.26537,-10.708551,2.525536,-3.121784,-1.732768,1.97462,3.870965,3.133603,-4.920914,2.048126,4.16993,6.881105,-0.567567,1.907736,6.92536,6.809634,0.559245,3.565906,3.833297,-2.188008,0.967451,-1.19473,-1.462838,5.768132,4.331235,6.229262,6.789073,0.379331,-0.84326,2.121553
"NMC-G1",-1.972362,1.201264,-4.737318,-1.529006,-4.203354,6.826828,4.207385,6.071176,-1.497929,4.125911,1.313285,2.16431,0.095162,1.62755,6.144609,2.237129,5.29361,0.260163,3.75348,1.941731,2.291089,4.957371,6.16992,5.472936,2.021624,-3.84108,-1.143833,-1.567732,1.740864,4.162539,-4.435106,5.941903,-3.781043,-2.255135,1.879827,-2.157984,-6.345415,3.535638,-0.855559,1.810926,9.280736,-3.920856,-4.769582,2.676983,0.671454,-7.35784,2.42906,6.837295,3.656413,-0.209233,3.612347,1.852193,-1.569156,4.359607,4.165536,1.80467,5.160906,4.872632,-0.014182,4.295299,-0.889989,-1.228354,3.978612,4.961392,6.641746,-3.892928,2.55904,6.057423,2.534186,2.053793,4.106422,6.342896,7.106086,2.51911,4.501885,5.319888,-2.111097,2.411373,0.271055,0.761428,6.171903,6.215746,2.811164,5.204067,2.183153,-0.684007,2.462932
"NOMO-1",-1.49419,0.782979,-3.551678,-1.887771,-3.962101,7.44157,4.09445,3.020978,3.158393,5.463915,-0.034965,1.201261,-0.77088,1.250487,5.034658,5.033574,1.9769,0.14489,6.10982,2.513532,1.826086,2.273845,6.036117,5.001776,1.998165,1.694211,-0.573205,0.774046,5.412757,4.918088,1.435443,5.639987,-2.635025,0.450964,4.29411,-2.935387,-4.761416,4.957259,6.84014,6.420817,7.538594,-5.841671,-6.812922,4.188152,0.879477,-4.542832,-0.540274,-3.576729,1.667207,-2.921946,-0.546531,-4.05781,-2.0772,2.560748,3.071087,1.015913,4.474073,0.844203,-2.626304,3.891769,-2.753954,-0.00568,1.620988,5.369184,2.617488,-4.71168,0.869136,3.180805,7.168685,0.886286,0.785045,7.322652,6.08904,2.898774,1.658609,2.889842,-3.673821,-1.055713,-1.430747,-5.730893,4.270102,4.946676,6.118608,7.077348,2.173969,-0.956969,4.070372
"NOS-1",-2.536596,1.275522,-3.428233,0.40698,-3.186106,7.024744,2.424072,2.972402,1.130989,4.903534,-1.411947,2.425329,-1.181876,3.003585,6.649165,3.041908,1.36124,5.642736,0.314465,1.541691,0.721844,1.78539,2.460888,2.942985,-0.731255,-9.40307,-2.747178,-3.479083,-0.648809,1.934046,0.266537,6.220808,-4.139812,-1.155144,-0.41572,-4.12686,-5.90866,2.109348,0.756418,1.783616,6.261232,-2.387483,-3.196998,4.993016,0.645865,-3.993242,1.516338,3.834633,1.982143,1.334565,0.344966,2.281995,-0.318774,2.750609,6.06513,1.292743,3.967569,2.141869,-1.899352,2.739024,-0.052677,-0.025426,3.716527,2.458939,4.365735,-10.214499,2.460524,3.797804,2.383906,1.70871,1.295581,4.623403,6.40651,4.583234,1.745588,4.710685,-3.50252,-1.552017,-0.88979,0.507016,6.157476,3.400954,6.398672,4.214889,1.782998,-1.447479,4.516462
"NUGC-3",-3.096662,-0.019374,-3.99867,-4.077746,-5.117364,6.979252,4.153898,3.365357,0.450617,5.345573,3.232053,4.728546,-0.374766,2.620695,7.297007,2.959231,1.738343,-0.267318,2.808835,2.217517,1.295206,2.14386,4.288883,3.514388,3.115386,-7.965756,-3.490549,3.036329,5.060626,3.417603,0.122402,6.331562,-3.030962,-1.620777,3.258291,-3.103983,-6.758181,0.124171,1.431952,2.773726,8.130729,-5.76475,-5.667848,0.762168,-0.52949,-5.561228,1.81197,4.59451,-0.911765,2.001066,1.448106,1.467111,-3.7512,5.805882,4.092502,0.257399,4.860172,2.345666,1.23768,4.792028,1.616693,-1.932566,5.163017,3.445598,4.417993,-4.916021,-0.957805,4.618148,2.995167,4.035622,2.74884,5.704271,5.436627,5.097854,3.840975,5.537431,-4.114212,2.926299,-0.346846,-1.045115,4.8749,6.084332,3.136497,4.262178,1.933576,0.137962,2.639849
"NY",-1.476282,1.501826,-3.500492,-0.419473,-4.813078,7.579326,4.683367,4.767258,-1.984269,3.741949,-1.645722,3.547199,-0.47251,3.355429,6.585544,4.314971,5.847027,0.044564,3.439983,1.567703,1.20019,3.083324,4.867983,5.026638,2.525278,-8.839302,-2.135653,0.254371,2.569885,3.798324,1.776943,5.472218,-4.051144,-2.128934,0.614218,-4.089357,-6.460448,3.584139,0.655952,1.016329,7.238748,-5.47367,-5.660128,2.112831,0.445739,-6.381767,-2.16346,4.782404,2.76032,1.863627,1.468126,3.386732,-0.329733,5.885054,5.195685,3.36022,6.348845,3.014844,-1.267262,5.145534,-0.710456,-1.290234,4.604025,4.564921,3.046914,-2.027825,3.020581,4.716148,3.720691,1.384259,3.428967,3.554356,5.342989,4.857225,1.796213,1.353136,-1.545967,3.40653,0.513114,1.37848,3.688971,4.495295,5.72634,5.699204,3.331728,-0.889694,2.247265
"OAW-28",-1.721284,0.766556,-3.09317,-0.819507,-4.185434,7.826126,4.833394,2.90191,0.055344,3.33239,2.396873,2.282177,0.370214,4.297193,7.653304,4.451684,6.037276,0.180831,3.947844,2.997804,3.208109,4.946191,8.302228,4.547956,3.382368,-2.989828,-1.600572,1.134864,5.228724,4.219314,2.219905,5.555683,-1.321363,-2.416248,4.486656,-2.694673,-4.833971,3.468075,3.200152,2.931369,12.095984,-4.925005,-3.200937,3.132171,1.734279,-3.559984,2.628463,3.012199,1.279338,-0.243723,1.522567,5.441439,1.973062,5.687213,4.371366,5.110231,6.011203,4.099311,0.613812,4.041229,1.871275,4.141692,4.445453,1.42329,5.688793,-1.260626,2.072641,6.658226,5.009296,4.096613,4.878319,5.439853,5.022405,5.320624,4.760241,3.408762,0.727159,3.654261,1.594192,-0.041448,5.51803,4.346413,4.712325,4.173844,3.437231,-1.224714,3.202245
"OAW-42",-1.871815,1.801538,-2.384428,-2.414383,-3.159326,3.413003,3.357576,4.570554,-0.543155,4.926208,0.740558,4.135106,-0.130989,3.744651,6.051081,4.04971,2.573224,-0.548742,1.990016,5.711863,1.021388,3.89723,5.775756,3.558059,2.915546,-3.613035,-1.538129,0.617157,4.097158,2.647626,-0.184138,5.207332,-3.284151,-0.966452,5.774152,-3.009615,-6.129074,3.007871,-0.045104,2.040815,10.1797,-4.711679,-1.456217,2.155213,0.222558,-3.280798,2.130306,4.768102,0.245493,-0.039303,0.847651,1.660404,-1.426544,3.790179,5.800435,2.110814,5.843163,1.789792,-0.065446,4.347436,-1.052349,0.168107,5.45798,4.505551,4.343453,-2.506102,1.252837,7.048897,4.845783,1.297615,2.19273,7.00172,6.139547,4.124794,2.353917,2.883811,-2.611977,-0.136745,-0.524889,0.335795,5.22515,3.878879,5.152047,5.447993,3.766686,-0.709325,3.616144
"OCI-AML2",-3.099992,-0.580971,-8.828062,-6.273244,-4.580092,7.414928,5.041432,1.751961,0.729845,4.952351,3.75881,5.528823,-0.696181,4.961238,6.217123,3.413872,0.438488,-1.209428,3.504148,2.225116,0.923185,5.37223,2.087212,3.029926,1.500731,-4.82275,-2.851354,2.949291,4.014438,2.206975,0.813313,7.07889,-4.357519,-0.665453,4.293458,-3.385635,-5.787232,5.102416,0.709067,1.537829,5.870854,-5.328613,-4.085545,0.99477,1.572669,-2.398249,-3.197203,3.582389,4.377391,-3.444978,0.512051,-8.41197,2.644124,2.40549,5.807844,2.05051,5.126287,3.827361,-1.363104,5.774582,-2.88061,2.017963,5.256525,5.466462,5.158502,2.337538,4.448449,6.896553,5.831291,2.402221,5.012651,7.075504,7.205115,1.678527,5.635824,6.469317,-1.842164,6.135038,0.066224,-11.474048,6.450026,3.088395,5.800846,4.071104,3.23742,-0.802,6.071062
"OCUB-M",-4.189666,-3.111139,-4.602247,-2.273249,-5.418769,7.146379,4.173759,1.302331,0.30686,5.778994,3.618701,0.459412,1.110013,3.089622,11.499238,3.110366,1.535416,-0.144763,2.044011,1.671572,-0.210347,4.467594,3.509679,1.025543,1.41283,-7.424164,-1.492194,0.440658,2.707267,0.021671,0.595297,6.203537,-3.228576,0.079676,1.19806,-3.900679,-6.882948,3.321382,-0.751535,0.077948,7.603298,-0.928698,-3.353274,6.401837,5.110784,-5.20409,3.102172,4.876228,3.236543,4.045491,1.266004,5.987564,-1.048745,4.508469,6.097428,3.996187,6.04212,4.649663,1.753647,5.431278,0.851372,2.650438,5.488355,4.619226,5.972602,-1.632472,1.324916,7.087775,6.067061,2.013198,4.631284,6.566436,5.997446,4.665197,4.772253,4.089611,-2.496062,2.625802,-0.190253,-0.216121,3.380067,1.408852,6.021132,1.896273,2.987082,-1.415643,3.434526
"OE19",-1.608527,3.610267,-0.353588,-1.007964,-4.324264,6.509938,4.438961,2.477458,1.707873,1.377383,4.002779,2.446787,0.094803,1.53287,9.951706,3.103832,2.369896,-0.214009,2.049864,3.391257,1.328934,3.63806,6.939443,3.424687,2.186103,-3.30985,0.503911,0.629711,3.266342,2.908524,0.762451,5.90509,-3.937148,-0.516716,6.096386,-3.546542,-5.368566,2.026132,1.749911,1.072304,8.590802,-1.971546,-3.477514,4.461804,-0.18471,-4.967898,0.434768,6.16281,2.998762,1.73805,2.170495,2.643397,-0.87325,5.978489,5.191176,3.897726,5.755888,3.36645,1.189334,4.232697,1.154596,-3.481085,4.759791,3.573151,5.854244,-3.009415,-2.831766,6.883668,6.151858,4.447091,5.23315,5.661402,6.871801,6.709383,4.06354,5.32232,-1.077243,2.804814,2.035363,0.010693,6.086814,6.51524,4.25933,2.319771,5.106574,1.78801,5.494774
"OE33",-0.853264,1.633577,-2.794137,-1.085312,-3.890928,6.857542,3.961396,3.778507,1.606653,4.954406,3.245918,2.381479,-0.659565,2.560758,6.04373,2.683514,2.949642,0.5951,0.636187,2.584239,2.250383,2.114874,4.304167,1.603007,2.33566,-3.059816,-1.381912,0.469018,4.987003,5.782408,1.01253,6.918239,-3.160367,-0.987903,4.969861,-3.277752,-4.875322,2.852317,2.530318,2.599326,7.191344,-3.666962,-3.554695,3.113975,0.589133,-4.085403,-1.267035,5.860516,3.072907,4.199816,1.584557,1.898676,-1.470894,5.776153,5.463128,3.63119,4.022096,5.101831,-0.938584,3.219415,1.056905,-0.161336,5.252086,5.211812,5.177937,2.477909,2.623655,6.124105,6.286161,3.632348,3.853184,6.128447,6.381521,6.92325,5.359666,6.18063,-1.666153,1.548649,-0.224217,0.539166,7.231655,3.611797,5.736184,6.006395,1.815458,-0.363223,4.241801
"OMC-1",-1.759255,3.607025,-0.539005,-0.942764,0.23498,7.5574,4.422362,5.237195,3.40335,4.983378,3.407572,5.134294,1.377735,5.913089,5.515561,3.583805,2.636472,0.558975,2.224729,2.491484,2.148819,5.198857,6.878822,5.579697,4.875305,-2.489398,-0.327056,4.843684,5.622937,5.103341,2.47604,6.552986,-4.044828,-1.924039,6.298369,-2.916261,-3.315076,3.7618,1.870416,6.035049,8.201794,-2.548415,-1.937252,2.535496,-0.183492,-4.468272,3.203607,6.259271,0.692585,0.620664,1.924835,1.619553,-0.69115,6.544127,6.36132,1.04733,6.519932,2.693868,-0.553445,3.622297,0.16451,-2.137319,5.251556,5.659316,5.184178,-2.562114,0.733179,6.784618,6.553987,3.328696,4.095443,6.206225,7.239967,7.066457,5.619953,3.277447,-2.300757,-0.286227,-0.3183,-2.300285,5.884158,5.083463,5.592501,4.865976,3.453025,-0.570108,5.588312
"ONS-76",-3.967952,-0.281982,-4.747081,-1.109989,-5.713856,7.082324,4.86135,2.149537,-1.27866,5.206132,0.420756,3.984524,-0.925975,2.040461,5.484354,-0.176142,1.107193,-1.02702,4.597636,2.134306,1.862357,4.085504,7.88969,1.420321,2.299496,-4.607119,-3.894146,0.321299,5.439232,3.025569,-0.157928,6.379121,-3.522176,-1.761114,5.162051,-2.99918,-5.496959,4.067107,0.383303,5.569411,10.839045,-6.029781,-5.588189,1.373483,-0.941537,-5.532414,-2.752409,6.455184,3.61445,4.673465,0.603754,-0.692261,-3.410264,2.424337,5.027647,0.516118,4.451912,1.445015,-2.781251,2.248864,-1.995005,1.52159,4.050168,3.495941,6.453298,-4.579048,3.724991,3.768285,5.898351,1.405278,4.970277,5.443123,5.097037,1.717412,4.522876,4.242456,-3.538607,5.222504,1.71524,-4.233152,4.799351,4.845545,4.155578,3.801452,2.890185,-1.123125,2.053772
"OPM-2",-0.68954,3.203225,2.869809,1.848229,-5.071544,7.107393,5.227022,4.295125,0.505616,4.813617,-1.008607,4.743775,-0.66577,1.064635,3.361163,4.838085,3.612206,-1.069262,4.276077,4.319755,3.483315,2.71715,3.638248,7.077548,1.818021,-8.43847,-0.674586,-0.491664,0.742891,6.06668,4.645024,6.124486,-1.169136,-1.251797,4.824961,-3.055529,-2.741716,5.373121,7.52104,4.160316,8.798372,1.932536,-2.39506,6.40308,4.80532,0.221185,1.579576,5.628026,3.599814,2.818448,1.586339,4.83285,-0.33611,6.083444,6.291172,5.28603,6.444234,4.91704,-0.512,5.15668,2.801242,4.625262,5.380947,4.758215,6.785139,0.019674,4.085111,6.871775,5.005573,4.280611,5.39668,7.041407,6.895891,7.085788,0.300432,6.55691,-1.57798,1.049839,0.590649,3.274326,6.461971,2.949658,6.185755,3.033309,5.861236,2.403637,6.581212
"OS-RC-2",-1.701052,2.417477,-5.008519,-1.332929,-3.371399,7.087274,3.980039,2.869116,-1.09327,4.579452,-0.538209,-0.471799,-0.940859,2.334349,7.467571,3.679352,4.123275,-1.158704,2.142777,2.234773,1.910265,2.719387,6.046578,3.939147,0.156645,-3.718383,-0.842051,0.201299,4.116484,5.146357,1.106333,5.753285,-3.3827,-2.854512,3.181623,-3.452873,-6.720294,3.529919,2.709238,2.325972,7.97615,-4.608391,-2.661601,1.354171,0.458864,-3.088395,1.671629,4.831718,2.014762,1.709471,0.626743,2.912006,-4.075122,5.78975,2.770018,1.017666,4.985599,2.312982,-0.477872,2.485346,-0.568476,-1.40614,4.519199,2.48759,5.906871,-3.042554,2.199655,5.671681,5.555145,4.449553,2.402962,4.556081,6.327035,1.747263,2.951009,5.329974,-4.106054,5.403047,0.076409,-1.990402,6.514587,3.885581,6.937348,5.527503,2.456712,-0.304829,4.512446
"OVCAR-3",-0.75415,3.100716,0.0713,0.120331,-5.081522,6.587021,4.245955,5.876912,0.204537,4.786781,2.194701,-0.386456,-0.567929,1.771907,5.326665,3.985992,5.430415,-0.960221,0.612021,3.161564,1.758735,1.5584,5.382359,5.422286,2.916447,-8.188603,-0.662223,2.495937,4.330162,5.796351,4.814876,5.482529,-1.960565,-1.745429,3.485836,-3.413426,-5.488953,3.82068,3.972058,4.529214,10.757698,-2.993265,-5.879274,2.968321,1.021952,-5.252172,-0.210691,4.213818,2.693273,1.992027,1.975654,4.428274,0.828221,5.408378,5.738539,4.359732,5.035977,4.985654,-1.295179,4.883793,0.220762,-0.521871,3.913469,3.756263,6.281456,-2.399055,2.996165,6.158086,4.931689,2.731269,3.999406,6.706574,6.574401,3.671686,3.589183,5.219033,-0.512557,3.024427,1.105638,0.571422,6.295964,5.42062,6.362831,5.254066,2.577375,-0.969765,3.139163
"OVCAR-4",-1.852917,2.853175,-0.469638,-0.361105,-6.35088,7.049857,4.731896,2.102607,0.613941,4.946978,-0.877416,3.108013,-0.760855,2.287297,4.541133,3.466674,1.629174,-0.401144,3.416611,2.508976,1.527335,1.262952,5.155201,3.590824,2.752088,-5.83339,-1.578529,0.439498,1.910142,3.544075,1.483953,6.011211,-3.254995,-1.130726,3.177389,-3.309512,-6.430317,3.925312,0.793854,1.740114,6.620864,-1.66841,-3.577532,3.104172,1.80416,-4.917443,1.484822,5.670396,1.967602,2.826499,1.368358,2.224617,0.372116,4.576312,4.808546,0.695318,6.237988,2.370879,-1.138787,4.469582,1.637281,0.528313,4.326852,4.256767,3.491535,-5.137841,2.387247,3.913225,4.405618,1.812945,1.989692,5.942974,4.567905,4.458918,4.500068,3.112183,-2.612369,2.613915,-0.199531,0.927395,5.694129,3.977982,4.21496,3.731862,2.587395,-0.495065,6.189576
"OVCAR-5",-2.147175,0.430147,-1.184929,-0.719271,-2.205796,5.96258,4.372407,6.894317,-0.368644,5.125799,0.6454,3.618001,-1.707496,1.212987,6.126088,3.502379,4.183229,0.1168,4.584119,5.514851,3.159518,3.635693,6.428536,6.926794,2.003008,-7.827876,-1.167771,-0.689024,1.571166,6.585188,1.557931,5.67601,-4.010608,-0.808636,3.855043,-4.657444,-5.863924,4.268519,3.928183,5.417565,10.835929,-3.138945,-4.297922,1.392249,-1.515806,-6.005662,2.685719,7.166594,3.532758,2.364896,-0.551448,-1.451615,-2.090008,5.339806,5.630425,2.172049,6.300936,3.732338,-1.973735,1.481498,-0.68606,-3.358237,5.520571,4.357928,6.788923,-6.300919,2.57713,7.321343,6.73466,0.823008,5.240472,5.87924,5.936616,6.038315,5.042283,3.182377,-3.339061,-0.061695,-0.845536,-4.850672,6.068519,6.512247,6.162875,5.345982,3.044684,-0.552142,5.750328
"OVCAR-8",-2.781841,0.087507,-4.840376,-1.739873,-5.020536,6.329538,4.556455,3.046847,0.708776,4.767869,2.494371,4.164195,-0.886647,3.423593,6.384875,3.845852,1.89945,-0.776424,4.393898,2.427432,1.448353,1.642992,7.637983,2.421384,2.152334,-3.689764,-3.471522,1.206587,4.141266,4.856456,-7.649405,6.725379,-3.416886,-0.626998,4.944763,-4.211902,-6.846956,4.368867,1.492949,2.582487,8.726379,-4.923698,-5.027643,2.988642,-1.556857,-5.946418,2.301656,5.069735,2.940619,3.298198,0.434876,1.895345,-1.9926,3.30152,4.317127,3.77691,4.772584,4.422847,-1.033281,5.462971,-0.28317,-2.450844,4.553053,4.98061,4.52915,-5.522829,2.765442,5.076652,5.192349,1.770842,3.814551,5.054089,6.953341,6.37559,3.864575,5.937073,-3.465329,1.441121,0.69462,0.482707,6.279442,4.299828,4.855912,4.080442,1.594195,-0.752917,1.700156
"P12-ICHIKAWA",-3.010431,-1.149528,-2.468614,-5.341893,-3.6827,7.14896,5.416011,2.070994,2.407805,6.237183,2.173547,2.228165,1.337653,5.65083,4.127525,5.055186,-0.037469,0.328125,2.692482,2.24597,2.621911,3.470049,4.966312,2.795039,1.473875,-3.707291,-2.610614,5.160113,6.010579,5.810914,1.713032,7.557776,1.036901,-0.69665,4.920941,-3.516611,-4.508235,5.37614,2.343345,6.273062,8.371094,-8.207213,-3.287122,6.331195,-1.808682,-0.362323,-3.512905,4.47852,4.363214,-3.20839,0.100725,5.9974,2.935867,4.112582,5.301557,5.129656,5.470027,4.608072,-0.550946,5.614491,-0.60457,4.952337,4.190597,5.068415,6.073462,-0.751187,3.8183,3.573522,5.190581,1.810744,5.82362,6.984498,6.760965,6.447898,4.661699,5.08526,-1.63836,5.235143,0.162203,2.63905,5.689969,2.289505,6.12894,2.780678,4.489972,-0.662215,6.077645
"P30-OHK",-2.854694,0.191642,-6.530252,-5.330502,-4.594775,7.63164,5.456614,1.269801,-0.490271,5.866647,-1.853278,0.068943,-1.207913,4.938343,6.146046,2.758986,-0.163967,-1.511936,1.512046,1.813227,3.881039,3.015919,2.289104,1.82615,-0.851268,-6.175543,-1.425041,2.978607,1.891258,6.631848,1.95951,5.483231,-1.31287,-0.936386,1.699169,-3.964878,-5.40588,3.082464,-1.332278,1.558271,6.579124,-4.337879,-4.653355,1.877267,-2.99415,-0.703992,-4.268614,6.122204,3.794459,-0.691802,-0.404224,5.312454,-1.246897,3.971149,6.385252,-0.014884,3.317531,4.215412,-2.029521,5.434974,-3.17637,3.188989,4.745261,5.625841,2.724363,1.195143,2.816608,5.904336,2.603972,-0.09999,1.544231,6.724229,6.721716,1.843243,1.742526,6.061341,-3.084772,-1.860576,-1.891576,3.443513,5.962971,4.453031,5.477632,5.950287,3.086838,-1.024052,5.42974
